EMP_Micro,EMP_Meso,EMP_Macro,EMP_Lengths,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP_Macro,YBFMP_Meso,YBFMP_Micro,LI_Meso,LI_Micro,DOP_Meso,DOP_Macro,USGS_Meso,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,DOPstart,DOPend,FRPstart,FRPend,USGSstart,USGSend
,,,,,,,,,,,Taeniopterygidae,,,,,,,,Adult,Taeniopterygidae,Family,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,,,,,,,,,,,,,,,,
,,,,,,,,,Talitridae,Talitridae,Talitridae NotDetermined,,,,,,,,Adult,Talitridae,Family,Arthropoda,Malacostraca,Amphipoda,Talitridae,,,1962,,,,,,,,,,2016,,,
,,,,,,,,,Tanaid,Tanaid,Tanaidacea NotDetermined,,,,,,Tanaidacea_UNID,,Undifferentiated,Tanaidacea,Order,Arthropoda,Malacostraca,Tanaidacea,,,,,,,,,,,,2018,2019,2016,,,
,,,,,,,,,,,Tanaidae,,,,,,,,Adult,Tanaidae,Family,Arthropoda,Malacostraca,Tanaidacea,Tanaidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tetrastemmatidae NotDetermined,,,,,,,,Adult,Tetrastemmatidae,Family,Nemertea,Enopla,Hoplonemertea,Tetrastemmatidae,,,,,,,,,,,,,,,,
,,,,,,,,,Thrips,Thrips,Thysanoptera Adults,,,,,,,,Adult,Thysanoptera,Order,Arthropoda,Insecta,Thysanoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Thysanoptera Larvae,,,,,,,,Larva,Thysanoptera,Order,Arthropoda,Insecta,Thysanoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Thysanoptera NotDetermined,,,,,,,,Undifferentiated,Thysanoptera,Order,Arthropoda,Insecta,Thysanoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Thysanura NotDetermined,,,,,,,,Adult,Thysanura,Order,Arthropoda,Insecta,Thysanura,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Tipulidae Adults,,,,,,,,Adult,Tipulidae,Family,Arthropoda,Insecta,Diptera,Tipulidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Tipulidae larvae,Tipulidae Larvae,,,,,,,,Larva,Tipulidae,Family,Arthropoda,Insecta,Diptera,Tipulidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Tipulidae NotDetermined,,,,,,,,Undifferentiated,Tipulidae,Family,Arthropoda,Insecta,Diptera,Tipulidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Tipulidae Pupae,,,,,,,,Pupa,Tipulidae,Family,Arthropoda,Insecta,Diptera,Tipulidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Trichoptera adult,Trichoptera adult,Trichoptera Adults,,,,,,,,Adult,Trichoptera,Order,Arthropoda,Insecta,Trichoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Leptohyphidae mayfly larvae,Tricorythidae NotDetermined,,,,,,,,Larva,Tricorythodes minutus,Species,Arthropoda,Insecta,Ephemeroptera,Leptohyphidae,Tricorythodes,Tricorythodes minutus,,,,,,,,,,,2016,,,
,,,,,,,,,,,Truncatelloidea NotDetermined,,,,,,,,Adult,Truncatelloidea,Family,Mollusca,Gastropoda,Littorinimorpha,Truncatelloidea,,,,,,,,,,,,,,,,
,,,,,,,,,,,Turbellaria NotDetermined,,,,,,,,Adult,Turbellaria,Class,Platyhelminthes,Turbellaria,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Unionicolidae NotDetermined,,,,,,,,Adult,Unionicolidae,Family,Arthropoda,Arachnida,Trombidiformes,Unionicolidae,,,,,,,,,,,,,,,,
,,,,,,,,,Veliidae,Veliidae,Veliidae Adults,,,,,,,,Adult,Veliidae,Family,Arthropoda,Insecta,Hemiptera,Veliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Veliidae Larvae,,,,,,,,Larva,Veliidae,Family,Arthropoda,Insecta,Hemiptera,Veliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Veliidae NotDetermined,,,,,,,,Undifferentiated,Veliidae,Family,Arthropoda,Insecta,Hemiptera,Veliidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Vertebrata NotDetermined,,,,,,,,Juvenile,Chordata,Phylum,Chordata,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Acanthocyclops robustus N,Adult,Acanthocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,,,,,,,,,2017,,,,2017,
,ACANTHO,,,ACANTHO,,ACANTHO,,Acanthocyclops,Acanthocyclops,,,Acanthocyclops sp. adult,Acanthocyclops sp. adult,,,Acanthocyclops_spp_adult,,Acanthocyclops sp. N,Adult,Acanthocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,,1972,,2005,,1995,2010,2014,2017,,2016,,2017,
,,,,,,,,,,,,Acanthocyclops vernalis copepodid,Acanthocyclops vernalis copepodid,,,Acanthocyclops_vernalis_copepodid,,,Juvenile,Acanthocyclops,Genus,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,,,,,,,,,,2017,,,,,
,,,,,,,,,,,,,,,Acanthocyclops vernalis Adult,Acanthocyclops_vernalis_adult,,,Adult,Acanthocyclops vernalis,Species,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,Acanthocyclops,Acanthocyclops vernalis,,,,,,,,,2017,,,,,
,,,,,,,,,,Yellowfin Goby,,,,,,,,,Juvenile,Acanthogobius flavimanus,Species,Chordata,Actinopterygii,,Gobiidae,Acanthogobius,Acanthogobius flavimanus,,,,,,,,,,,2016,,,
,ACARJUV,,,ACARJUV,,ACARJUV,,Acartia copepodid,Acartia copepodid,,,,,,,Acartia_spp_copepodid,,,Juvenile,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,,,2006,,2006,,2006,,,2017,,2016,,,
,ACARTIA,,,ACARTIA,,ACARTIA,,Acartia spp_,Acartia spp.,,,Acartia sp. adult,Acartia sp. adult,,,Acartia_spp_adult,,,Adult,Acartia,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartia,,,1972,,2005,,1995,,,2017,,2016,,,
,,,,,,,,Acartiella copepodid,,,,Acartiella sp. copepodid,Acartiella sp. copepodid,,,,,,Juvenile,Acartiella,Genus,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,,1993,,,,,2006,,,,,,,,
,ACARTELA,,,ACARTELA,,ACARTELA,,Acartiella,Acartiella,,,Acartiella sinensis adult,Acartiella sinensis adult,,,Acartiella_sinensis_adult,,,Adult,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,1993,1994,,2005,,1995,,,2017,,2016,,,
,ASINEJUV,,,ASINEJUV,,ASINEJUV,,,Acartiella copepodid,,,,,,,Acartiella_sinensis_copepodid,,,Juvenile,Acartiella sinensis,Species,Arthropoda,Copepoda,Calanoida,Acartiidae,Acartiella,Acartiella sinensis,1993,2006,,2006,,,,,2017,,2016,,,
,,,,,,,,,,,,Actinopterygii undifferentiated,Actinopterygii undifferentiated,,,,,,Undifferentiated,Actinopterygii,Class,Chordata,Actinopterygii,,,,,,,,,,,,,,,,,,
,,A_macropsis,Alienacanthomysis macropsis,,Alienacanthomysis macropsis,,Alienacanthomysis_macropsis,,,Alienacanthomysis macropsis,,,,,,,Alienacanthomysis_macropsis,,Adult,Alienacanthomysis macropsis,Species,Arthropoda,Malacostraca,Mysida,Mysidae,Alienacanthomysis,Alienacanthomysis macropsis,,1994,,2007,,,,,2017,,2016,,,
,,,,,,,,,,,,Alona sp. undifferentiated,Alona sp. undifferentiated,,Alona NA Adult,Alona_spp,,Alona sp. N,Adult,Alona,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alona,,,,,,,,,,2017,,,,2017,
,,,,,,,,,,,,Alonella sp. undifferentiated,Alonella sp. undifferentiated,,Alonella NA Adult,,,Alonella sp. N,Adult,Alonella,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Alonella,,,,,,,,,,,,,,2017,
,,,,,,,,,,American Shad,,,,,,,,,Juvenile,Alosa sapidissima,Species,Chordata,Actinopterygii,,Clupeidae,Alosa,Alosa sapidissima,,,,,,,,,,,2016,,,
,,,,,,,,,,,,Americophium sp. undifferentiated,Americophium sp. undifferentiated,,,,Americorophium_spp,Americorophium sp. N,Adult,Americorophium,Genus,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,,,,,,,,,,2017,,,,2017,
,,A_spinicorne,Americorophium spinicorne,,Americorophium spinicorne,,Americorophium_spinicorne,,Americorophium spinicorne,Americorophium spinicorne,,,,,,,Americorophium_spinicorne,,Adult,Americorophium spinicorne,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium spinicorne,,2014,,2013,,,,,2017,,2016,,,
,,A_stimpsoni,Americorophium stimpsoni,,Americorophium stimpsoni,,Americorophium_stimpsoni,,Americorophium stimpsoni,Americorophium stimpsoni,,,,,,,Americorophium_stimpsoni,,Adult,Americorophium stimpsoni,Species,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Americorophium,Americorophium stimpsoni,,2014,,2013,,,,,2017,,2016,,,
,,A_abdita,Ampelisca abdita,,Ampelisca abdita,,Ampelisca_abdita,,,,,,,,,,Ampelisca_abdita,,Adult,Ampelisca abdita,Species,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca abdita,1954,2014,,2013,,,,,2017,,,,,
,,,,,,,,,Amphipod juvenile,,,,,,,,,,Juvenile,Amphipoda,Order,Arthropoda,Malacostraca,Amphipoda,,,,,,,,,,,,,,2016,,,
,,Ampithoe_sp,Ampithoe sp,,,,,,,Ampithoe,,,,,,,Ampithoe_spp,,Adult,Ampithoe,Genus,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,,1941,2014,,,,,,,2017,,2016,,,
,,,,,,,,,,,,,,,,,Ampithoe_valida,,Adult,Ampithoe valida,Species,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,,,,,,,,,2017,,,,,
,,,,,,,,,,,,Anchistropus sp. undifferentiated,Anchistropus sp. undifferentiated,,Anchistropus NA Adult,,,,Undifferentiated,Anchistropus,Genus,Arthropoda,Branchiopoda,Diplostraca,Chydoridae,Anchistropus,,,,,,,,,,,,,,,
,,,,,,,,,,Animal material UNID,,,,Other,Other,,,,Undifferentiated,Animalia,,Animalia,,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Worm UNID,Worm UNID,,,,,,,,,Adult,Annelida,Phylum,Annelida,,,,,,,,,,,,,,,,2016,,,
,,,,,,,,Annelid worms,,,,,,,,,,,Adult,Annelida,Phylum,Annelida,,,,,,,,,,,1995,2005,,,,,,,
,,,,,,,,,,,,Annelida undifferentiated,Annelida undifferentiated,,,,,,Undifferentiated,Annelida,Phylum,Annelida,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Anthuridae,,,,,,,,,Adult,Anthuridae,Family,Arthropoda,Malacostraca,Isopoda,Anthuridae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Tadpole,,,,,,,,,Larva,Anura,Order,Chordata,Amphibia,Anura,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,Anuraeopsis NA Adult,,,,Adult,Anuraeopsis,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Anuraeopsis,,,,,,,,,,,,,,,
,,,,,,,,,,,,Arctodiaptomus dorsalis adult,Arctodiaptomus dorsalis adult,,Arctodiaptomus dorsalis Adult,,,Arctodiaptomus dorsalis N,Adult,Arctodiaptomus dorsalis,Species,Arthropoda,Copepoda,Calanoida,Diaptomidae,Arctodiaptomus,Arctodiaptomus dorsalis,,1972,,2005,,,,,,,2016,,2017,
,,,,,,,,,,,,Arthropoda nauplius,Arthropoda nauplius,,,,,,Larva,Arthropoda,Phylum,Arthropoda,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ascomorpha NA Adult,,,,Adult,Ascomorpha,Genus,Rotifera,Eurotatoria,Ploima,Gastropodidae,Ascomorpha,,,,,,,,,,,,,,,
ASPLANCH,ASPLANCH,,,ASPLANCH,,ASPLANCH,,Asplanchna,Asplanchna,,,,,,Asplanchna NA Adult,Asplanchna_spp,,Asplanchna sp. N,Adult,Asplanchna,Genus,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,,,1972,,2005,,1995,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Asplanchna priodonta N,Adult,Asplanchna priodonta,Species,Rotifera,Eurotatoria,Ploima,Asplanchnidae,Asplanchna,Asplanchna priodonta,,,,,,,,,,,,,2017,
,,,,,,,,,Topsmelt,Topsmelt,,,,,,,,,Juvenile,Atherinopsis affinis,Species,Chordata,Actinopterygii,,Atherinopsidae,Atherinopsidae,Atherinopsis affinis,,,,,,,,,,,2016,,,
,,,,,,,,,,Jacksmelt,,,,,,,,,Juvenile,Atherinopsis californiensis,Species,Chordata,Actinopterygii,,Atherinopsidae,Atherinopsis,Atherinopsis californiensis,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,Bdelloid NA Adult,,,Bdelloidea N,Adult,Bdelloidea,Class,Rotifera,Bdelloidea,,,,,,,,,,,,,,,,,2017,
,,,,,,,,,Clam Juvenile,Clam Juvenile,,Bivalvia larva,Bivalvia larva,,,,,,Juvenile,Bivalvia,Class,Mollusca,Bivalvia,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Mussel UNID,,,,,,,,,,Undifferentiated,Bivalvia,Class,Mollusca,Bivalvia,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Blackfordia,,,,,,,,,Adult,Blackfordia,Genus,Cnidaria,Hydrozoa,Leptothecata,Blackfordiidae,Blackfordia,,,,,,,,,,,,2022,,,
,BOSMINA,,,BOSMINA,,BOSMINA,,Bosmina,Bosmina,,,Bosmina longirostris undifferentiated,Bosmina longirostris undifferentiated,,Bosmina NA Adult,Bosmina_longirostris,,Bosmina longirostris N,Adult,Bosmina longirostris,Species,Arthropoda,Branchiopoda,Cladocera,Bosminidae,Bosmina,Bosmina longirostris,,1972,,2005,,1995,,,2017,,2016,,2017,
,,,,,,,,,Brachionus,,,,,,Brachionus NA Adult,Brachionus_spp,,Brachionus sp. N,Adult,Brachionus,Genus,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus angularis N,Adult,Brachionus angularis,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus angularis,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus bidentata N,Adult,Brachionus bidentata,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus bidentata,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus calyciflorus N,Adult,Brachionus calyciflorus,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus calyciflorus,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus caudatus N,Adult,Brachionus caudatus,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus caudatus,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus havanaensis N,Adult,Brachionus havanaensis,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus havanaensis,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus quadridentatus N,Adult,Brachionus quadridentatus,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus quadridentatus,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus urceolaris N,Adult,Brachionus urceolaris,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus urceolaris,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,,,,,,,Brachionus variabilis N,Adult,Brachionus variabilis,Species,Rotifera,Eurotatoria,Ploima,Brachionidae,Brachionus,Brachionus variabilis,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,Bryozoa unid,,,,,Bryozoan NA NA,,,,Adult,Bryozoa,Phylum,Bryozoa,,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Caecidotea,,,,,,,,,Adult,Caecidotea,Genus,Arthropoda,Malacostraca,Isopoda,Asellidae,Caecidotea,,,,,,,,,,,,2016,,,
,CALJUV,,,,,,,Calanoid copepodid,Calanoid copepodid,,,,,,,,,Calanoida - copepodites N,Juvenile,Calanoida,Order,Arthropoda,Copepoda,Calanoida,,,,,1972,1988,,,1995,,,,,2016,,2017,
,OTHCALAD,,,OTHCALAD,,OTHCALAD,,Other calanoid,,,,,,,,,,,Adult,Calanoida,Order,Arthropoda,Copepoda,Calanoida,,,,,1972,,2005,,1995,,,,,,,,
,OTHCALJUV,,,OTHCALJUV,,OTHCALJUV,,,,,,Calanoida copepodid,Calanoida copepodid,,Calanoid NA Copepodid,Calanoid_UNID_copepodid,,,Juvenile,Calanoida,Order,Arthropoda,Copepoda,Calanoida,,,,,1989,,2005,,,,,2017,,,,,
,,,,,,,,,,,,,,,Calopterygidae NA NA,,,,Larva,Calopterygidae,Family,Arthropoda,Insecta,Odonata,Calopterygidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Camptocercus sp. undifferentiated,Camptocercus sp. undifferentiated,,Camptocercus NA Adult,Camptocercus_spp,,Camptocercus sp. N,Undifferentiated,Camptocercus,Genus,Arthropoda,Branchiopoda,Diplostraca,Eurycercidae,Camptocercus,,,,,,,,,,2017,,,,2017,
,,,,,,,,,,Cantharidae adult,,,,,,,,,Adult,Cantharidae,Family,Arthropoda,Insecta,Coleoptera,Cantharidae,,,,,,,,,,,,,2018,,,
,,Caprelidae_sp,Caprelidae sp,,,,,,,,,,,,,,,,Adult,Caprellidae,Family,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,,2014,,,,,,,,,,,,
,,,,,,,,,,Carabidae adult,,,,,,,,,Adult,Carabidae,Family,Arthropoda,Insecta,Coleoptera,Carabidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,Goldfish,,,,,,,,,,Juvenile,Carassius auratus,Species,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Carassius,Carassius auratus,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,,,,Caudatella heterocaudata N,Larva,Caudatella heterocaudata,Species,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Caudatella,Caudatella heterocaudata,,,,,,,,,,,2016,,2017,
,,,,,,,,,,Black Bass (unknown species),,,,,,,,,Juvenile,Centrarchidae,Family,Chordata,Actinopterygii,Perciformes,Centrarchidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Centrarchidae UNID,Centrarchidae UNID,,,,,,,,,Larva,Centrarchidae,Family,Chordata,Actinopterygii,Perciformes,Centrarchidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,,,,,,Cephalodella NA Adult,,,Cephalodella sp. N,Adult,Cephalodella,Genus,Rotifera,Eurotatoria,Ploima,Notommatidae,Cephalodella,,,,,,,,,,2019,,2016,,2017,
,,,,,,,,Ceriodaphnia,Ceriodaphnia,,,,,,Ceriodaphnia NA Adult,,,Ceriodaphnia sp. N,Adult,Ceriodaphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,,,,,,,1995,,,,,2016,,2017,
,,,,,,,,,,,,Ceriodaphnia sp. undifferentiated,Ceriodaphnia sp. undifferentiated,,,,,Ceriodaphnia sp. Y,Juvenile,Ceriodaphnia,Genus,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,,,,,,,1995,,,,,2016,,2017,
,,,,,,,,,,,,,,,,,,Ceriodaphnia lacustris N,Adult,Ceriodaphnia lacustris,Species,Arthropoda,Branchiopoda,Cladocera,Daphniidae,Ceriodaphnia,Ceriodaphnia lacustris,,,,,,,,,,,,,2017,
,,,,,,,,,,Arrow worm,,,,,,,,,Adult,Chaetognatha,Phylum,Chaetognatha,,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Fish Eggs,,Actinopterygii eggs,Actinopterygii eggs,,,,,,Egg,Chordata,Phylum,Chordata,,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Fish UNID,Fish UNID,,,,,,,,,Juvenile,Chordata,Phylum,Chordata,,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Chrysomelidae adult,,,,,,,,,Adult,Chrysomelidae,Family,Arthropoda,Insecta,Coleoptera,Chrysomelidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,,,,Chydoridae Y,Juvenile,Chydoridae,Family,Arthropoda,Branchiopoda,Cladocera,Chydoridae,,,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,,Chydorus sp. undifferentiated,Chydorus sp. undifferentiated,,Chydorus NA Adult,Chydorus_spp,,,Adult,Chydorus,Genus,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,,,,,,,,,,2017,,,,,
,,,,,,,,,,,,,,,,,,Chydorus sphaericus N,Adult,Chydorus sphaericus,Species,Arthropoda,Branchiopoda,Cladocera,Chydoridae,Chydorus,Chydorus sphaericus,,,,,,,,,2017,,,,2017,
,,,,,,,,,,Cicadellidae,,,,,,,,,Adult,Cicadellidae,Family,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,,,,,,,,,,2016,,,
BARNNAUP,BARNNAUP,,,BARNNAUP,,BARNNAUP,,Barnacle nauplii,Barnacle Nauplii,Barnacle Nauplii,,Cirripedia nauplius,Cirripedia nauplius,,,Barnacle_UNID_nauplii,,,Larva,Cirripedia,Class,Arthropoda,Cirripedia,,,,,,1972,,2005,,1995,,,2017,,2016,,,
,,,,,,,,,,Barnacle adult,,,,,,,,,Adult,Cirripedia,Class,Arthropoda,Cirripedia,,,,,,1972,,2005,,1995,,,2017,,2016,,,
,,,,,,,,,Barnacle cyprid,,,,,,,,,,Larva,Cirripedia,Class,Arthropoda,Cirripedia,,,,,,,,,,,,,,,2018,,,
,OTHCLADO,,,OTHCLADO,,OTHCLADO,,Other cladocera,,,,,,,,,,,Adult,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,,,,,1972,,2005,,1995,,,,,,,,
,,,,,,,,UnID cladocera,Cladocera UNID,Cladocera UNID,,,,,,,,,Adult,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,,,,,,,,,2006,,,,,2016,,,
,,,,,,,,,,,,Cladocera nauplius,Cladocera nauplius,,,,,,Larva,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,,,,,,,,,,,,,,,,,
,,,,,,,,,,Arrow Goby,,,,,,,,,Juvenile,Clevelandia ios,Species,Chordata,Actinopterygii,,Gobiidae,Clevelandia,Clevelandia ios,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,Clitellata NA NA,,,,Adult,Clitellata,Class,Annelida,Clitellata,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Pacific Herring,,,,,,,,,Juvenile,Clupea pallasi,Species,Chordata,Actinopterygii,,Clupeidae,Clupea,Clupea pallasi,,,,,,,,,,,2016,,,
,,,,,,,,,,Cnidaria Other,,,,,,,,,Undifferentiated,Cnidaria,Phylum,Cnidaria,,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Jellyfish UNID,Jellyfish UNID,,,,,,,,,Undifferentiated,Cnidaria,Phylum,Cnidaria,,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Coccidae adult,Coccidae adult,,,,,,,,,Adult,Coccidae,Family,Arthropoda,Hexapoda,Hemiptera,Coccidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,,Coccinellidae adult,,,,,,,,,Adult,Coccinellidae,Family,Arthropoda,Insecta,Coleoptera,Coccinellidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,,,,,Collotheca NA Adult,,,Collotheca sp. N,Adult,Collotheca,Genus,Rotifera,Eurotatoria,Collothecacea,Collothecidae,Collotheca,,,,,,,,,,,,,,2017,
,,,,,,,,,,,,,,,Colurella NA Adult,,,,Adult,Colurella,Genus,Rotifera,Eurotatoria,Ploima,Colurella,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Conochilus NA Adult,,,Conochiloides sp. N,Adult,Conochiloides,Genus,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochiloides,,,,,,,,,,,,,,2017,
,,,,,,,,,Conochilus,,,,,,,Conochilus_spp,,Conochilus unicornis N,Adult,Conochilus,Genus,Rotifera,Eurotatoria,Flosculariaceae,Conochilidae,Conochilus,,,,,,,,,,2017,,2016,,2017,
OTHCOPNAUP,OTHCOPNAUP,,,OTHCOPNAUP,,OTHCOPNAUP,,,Copepod Nauplii,,,,,,,,,,Larva,Copepoda,Class,Arthropoda,Copepoda,,,,,,1989,,2005,,,,,,,2016,,,
,,,,,,,,,Copepod juvenile UNID,Copepod juvenile UNID,,,,,,,,,Juvenile,Copepoda,Class,Arthropoda,Copepoda,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,Copepod adult UNID,,,,,,,,,,Adult,Copepoda,Class,Arthropoda,Copepoda,,,,,,,,,,,,,,,2018,,,
,,Unidentified_Corophium,Unidentified Corophium,,Unidentified Corophium,,Unidentified_Corophium,,Corophiid UNID,Corophiid UNID,,,,,Corophium NA NA,,Corophiidae_UNID,,Adult,Corophiidae,Family,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,,,2014,,2013,,,,,2017,,2016,,,
,,,,CUMAC,,CUMAC,,Cumaceans,Cumaceans,Cumaceans,,Cumacea undifferentiated,Cumacea undifferentiated,,,,Cumacean_UNID,,Undifferentiated,Cumacea,Order,Arthropoda,Malacostraca,Cumacea,,,,,,,2005,,1995,2006,,2018,,2016,,,
,,,,,,,,,,,,,,,,,,Cyclopidae N,Adult,Cyclopidae,Family,Arthropoda,Copepoda,Cyclopoida,Cyclopidae,,,,,,,,,,,,,,,2017,
OTHCYCADPUMP,,,,,,,,,,,,,,,,,,,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,1975,,,,,,,,,2016,,,
CYCJUV,CYCJUV,,,,,,,Cyclopoid copepodid,Cyclopoid copepodid,,,Cyclopoida copepodid,Cyclopoida copepodid,,Cyclopoid NA Copepodid,Cyclopoid_UNID_copepodid,,Cyclopoida - copepodites N,Juvenile,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,1972,1994,,,1995,,,2017,,2016,,2017,
OTHCYCJUV,OTHCYCJUV,,,OTHCYCJUV,,OTHCYCJUV,,,,,,,,,,,,,Juvenile,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,1995,,2005,,,,,,,,,,
,,,,,,,,UnID cyclopoid,,,,,,,,Cyclopoid_UNID_adult,,,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,,,,,1995,,,2017,,,,,
,,,,,,,,,,,,,,Cyclopodia,Cyclopodia,,,,Undifferentiated,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,,,,,,,,,,,,,
